timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
93;872.488750000004;935.520000000001;6979.91000000003;452.25;480;3618;392.366121031745;415.259126984127;3138.92896825396
94;1035.57142857143;1228.78000000001;7249.00000000004;536.571428571429;628;3756;464.301190476189;549.940476190474;3250.10833333333
95;1025.72571428572;1244.38000000001;7180.08000000002;531.285714285714;636;3719;459.892176870747;555.883333333331;3219.24523809523
96;938.621666666671;1034.13;5631.73000000003;486.5;538;2919;423.358862433862;461.364682539682;2540.15317460317
97;958.678333333337;1025.01;5752.07000000002;498.666666666667;532;2992;434.074074074073;456.441468253968;2604.44444444444
98;975.406666666669;1090.38;5852.44000000001;509;578.5;3054;442.568121693121;505.899007936507;2655.40873015872
99;1024.42;1157.455;6146.52000000001;534.5;613;3207;459.779232804232;523.054563492065;2758.67539682539
100;1244.39500000001;1218.135;7466.37000000003;648.666666666667;629;3892;542.112566137566;548.655357142856;3252.67539682539
101;1204.75166666667;1154.51;7228.51000000004;628.666666666667;596.5;3772;535.062037037036;521.741666666665;3210.37222222222
102;1244.00166666668;1219.93000000001;7464.01000000005;649.166666666667;629.5;3895;552.621626984126;549.361904761902;3315.72976190475
103;1255.02166666667;1210.935;7530.13000000004;655;633.5;3930;556.829761904762;552.147619047617;3340.97857142857
104;1276.62666666668;1229.25000000001;7659.76000000005;666;643;3996;566.038029100527;559.877976190474;3396.22817460316
105;1435.61400000001;1313.63;7178.07000000003;749.6;689;3748;635.723253968252;597.616666666664;3178.61626984126
106;1405.93600000001;1327.45;7029.68000000004;734.2;696;3671;623.918333333332;603.402380952377;3119.59166666666
107;1269.924;1355.74;6349.62000000002;663;711;3315;568.260317460316;615.473809523807;2841.30158730158
108;1412.37800000001;1448.70000000001;7061.89000000004;737.2;760;3686;627.656269841268;655.88333333333;3138.28134920634
109;1480.25400000001;1414.88000000001;7401.27000000004;772.6;723;3863;654.703888888886;627.826190476186;3273.51944444443
110;1505.04800000001;1435.08000000001;7525.24000000005;785.8;733;3929;666.227619047617;636.854761904757;3331.13809523808
111;1289.65;1311.115;5158.60000000001;677;694;2708;577.944246031745;592.89126984127;2311.77698412698
112;1434.06250000001;1396.935;5736.25000000004;753;730.5;3012;637.294246031745;632.43095238095;2549.17698412698
113;1572.48500000001;1428.21000000001;6289.94000000003;825.25;747;3301;695.325496031746;646.350595238094;2781.30198412698
114;1516.01000000001;1394.905;6064.04000000004;795.75;729.5;3183;671.846924603173;632.090476190475;2687.38769841269
115;1543.48250000001;1399.48000000001;6173.93000000004;810;732;3240;683.578571428571;634.74226190476;2734.31428571428
116;1546.56000000001;1414.04;6186.24000000003;811.5;739.5;3246;684.995734126984;641.107738095236;2739.98293650793
117;1555.75;1208.31;4667.25000000001;816;630;2448;682.035714285715;549.295238095237;2046.10714285715
118;1535.20333333334;1175.78;4605.61000000002;805;613;2415;673.135449735448;535.086904761903;2019.40634920634
119;1590.33;1185.51;4770.99000000001;833.666666666667;618;2501;695.956349206347;539.772619047618;2087.86904761904
120;1607.85666666667;1200.72;4823.57;843.333333333333;626;2530;705.134788359789;546.413095238095;2115.40436507937
121;1074.97;1074.97;2149.94;557.5;557.5;1115;478.850595238095;478.850595238095;957.70119047619
122;1043.73;1043.73;2087.46;541.5;541.5;1083;465.663888888888;465.663888888888;931.327777777776
123;1045.695;1045.695;2091.39;542.5;542.5;1085;466.316468253968;466.316468253968;932.632936507936
124;1010.34;1010.34;2020.68;524;524;1048;450.980555555556;450.980555555556;901.961111111112
125;1070.995;1070.995;2141.99;555.5;555.5;1111;477.344246031746;477.344246031746;954.688492063492
126;1079.83;1079.83;2159.66;560;560;1120;481.167261904762;481.167261904762;962.334523809523
